Family,Platforms,Visual Character,Best For,Avoid When,Grid and Modes,Package Hint,License,Official URL,Keywords
Lucide,"Web, React, Vue, Svelte, React Native and other adapters","Crisp geometric outline with strict construction rules","Product shells, settings, forms, familiar actions and balanced general-purpose interfaces","A more expressive or domain-rich voice is required and the repository has no established Lucide usage","24px grid; configurable size and stroke","Use the official adapter already present, for example lucide-react","ISC","https://lucide.dev/","clean outline geometric consistent familiar system actions productivity"
Phosphor,"Web, React, React Native, Vue, Flutter and other adapters","Flexible geometric family with multiple weights plus fill and duotone modes","Products that need one family to move from quiet utility icons to selective expressive moments","The interface would use duotone or rounded weights as decoration everywhere, or another family is already established","Multiple weights and modes; keep one weight policy per surface","Use the official @phosphor-icons package for the project stack","MIT","https://phosphoricons.com/","flexible weights duotone expressive diagrams consumer product"
Tabler Icons,"Web and broad framework coverage","Precise 24px outline system with broad specialist coverage and optional filled variants","Dense dashboards, operations tools, technical products and niche domain concepts","A native-platform symbol set or compact 15px toolbar family is the stronger fit","24px grid; 2px default stroke; outline and selected filled variants","Use the official @tabler/icons-* adapter for the stack","MIT","https://tabler.io/icons","large catalog technical operations dashboard infrastructure specialist"
Iconoir,"Web, React, React Native, Vue, Flutter and Swift","Distinctive monoline geometry with an editorial edge","Modern product navigation, creator tools, data products and concepts that feel generic in basic sets","The product depends on a broad filled-state vocabulary or must look platform-native","24px grid; primarily outline","Use iconoir or the official stack-specific adapter such as iconoir-react","MIT","https://iconoir.com/","distinctive monoline editorial creator data navigation"
Remix Icon,"Web, Figma and SVG workflows","Neutral system symbols with paired outlined and filled forms","Content-rich products, navigation systems and interfaces that need reliable selected-state fills","A native mobile family is required or the custom license has not been reviewed for the project","24px grid; outlined and filled pairs","Use the official remixicon assets or project integration","Remix Icon License v1.0","https://www.remixicon.com/","neutral outline fill paired content navigation web"
Radix Icons,"React and SVG-based web interfaces","Very crisp compact glyphs designed for 15px rendering","Dense toolbars, inspectors, menus and small desktop controls","Feature illustrations, large navigation marks or a catalog with many domain-specific objects is required","15px grid; compact single-color symbols","@radix-ui/react-icons","MIT","https://www.radix-ui.com/icons","compact 15px toolbar inspector menu desktop precise"
Heroicons,"Web, React, Vue and raw SVG","Restrained hand-crafted outline and solid UI symbols","Tailwind-oriented products, conventional app shells and interfaces that benefit from 16px, 20px and 24px variants","Niche domain coverage or a highly ownable visual language is required","24px outline and solid; 20px and 16px solid variants","@heroicons/react or @heroicons/vue","MIT","https://heroicons.com/","tailwind conventional outline solid app shell"
Material Symbols,"Android, Web and downloadable SVG assets","Material-native symbols with variable fill, weight, grade and optical size axes","Android or Material products and systems that need state changes within one variable family","The product is intentionally non-Material and adopting the family would overwrite its existing voice","Outlined, rounded and sharp styles; variable fill, weight, grade and optical size","Google Fonts, self-hosted font or official SVG assets","Apache-2.0","https://developers.google.com/fonts/docs/material_symbols","android material variable font optical size native platform"
SF Symbols,"iOS, iPadOS, macOS, watchOS, tvOS and visionOS","Apple-native symbols aligned to San Francisco with weights, scales, localization and rendering modes","Native Apple interfaces, toolbars, tab bars, menus and text-adjacent symbols","Cross-platform identity, web implementation, app icons, logos or trademark use","Native Apple symbol variants and rendering modes; check target OS availability","Image(systemName:) and Apple asset workflows","Apple SF Symbols license and usage terms","https://developer.apple.com/sf-symbols/","apple ios macos native localized symbol platform"
Hugeicons Free,"Web, React, Vue, Svelte, Angular, React Native and Flutter","Broad rounded-stroke catalog with more illustrative and domain-specific options","Consumer products and feature areas where a basic utility set lacks an exact object or activity","Rounded strokes conflict with the product language, raw assets would be redistributed, or license provenance is not recorded","Free stroke-rounded family; keep one style and normalize only supported properties","@hugeicons/react with @hugeicons/core-free-icons for React","Hugeicons license for the free tier; verify current terms and do not redistribute raw assets","https://hugeicons.com/docs/","broad domain rich rounded stroke consumer activities objects"
