Concept,Role,Family,Icon Name,Package,Import Hint,Metaphor,Use When,Avoid When,Keywords,Verified Version,Official URL
Automation,Product capability,Lucide,Workflow,lucide-react,"import { Workflow } from 'lucide-react'","Connected steps with a branch","A named multi-step rule or orchestration flow is the actual feature","A single action, vague AI value, or every automation entry point uses the same glyph","automation workflow branching rule orchestration",1.25.0,https://lucide.dev/
Document extraction,Product capability,Lucide,ScanText,lucide-react,"import { ScanText } from 'lucide-react'","Scan frame around text lines","OCR, text capture, or field extraction is the actual output","Broad search, image generation, or an unlabeled generic AI action","scan text ocr extract fields document",1.25.0,https://lucide.dev/
Webhook integration,Product architecture,Lucide,Webhook,lucide-react,"import { Webhook } from 'lucide-react'","Three-node webhook junction","An event endpoint or webhook delivery is literal","A provider logo or a generic integrations landing destination","webhook event integration endpoint callback",1.25.0,https://lucide.dev/
Routing,Product workflow,Lucide,Waypoints,lucide-react,"import { Waypoints } from 'lucide-react'","Connected route points","A multi-stop route, pipeline, or ordered handoff is shown","Back navigation or a single direct send action","routing waypoints pipeline handoff logistics",1.25.0,https://lucide.dev/
Identity verification,Security mechanism,Lucide,FingerprintPattern,lucide-react,"import { FingerprintPattern } from 'lucide-react'","Biometric ridge pattern","Biometric matching or fingerprint identity is the real mechanism","Generic trust, privacy, or security marketing","identity biometric fingerprint verification",1.25.0,https://lucide.dev/
Relationship analysis,Data view,Lucide,ChartScatter,lucide-react,"import { ChartScatter } from 'lucide-react'","Scatter plot points and axes","The analytics view studies relationship, clusters, or distribution","A trend, total, table, or generic analytics destination","analytics scatter relationship distribution correlation",1.25.0,https://lucide.dev/
Performance metric,System metric,Lucide,Gauge,lucide-react,"import { Gauge } from 'lucide-react'","Bounded instrument gauge","Utilization, capacity, health score, or another bounded measure is displayed","Latency traces, raw throughput, or vague speed claims","performance gauge capacity utilization score",1.25.0,https://lucide.dev/
Component system,Product architecture,Lucide,Component,lucide-react,"import { Component } from 'lucide-react'","Interlocking component geometry","A reusable UI or software component is the actual entity","A vague platform promise or arbitrary decoration","component system module reusable architecture",1.25.0,https://lucide.dev/
Localization,Product capability,Lucide,Languages,lucide-react,"import { Languages } from 'lucide-react'","Multiple language characters","Language selection, translation, or localization is literal","Global reach, regions, maps, or time zones","language translation localization locale",1.25.0,https://lucide.dev/
Release artifact,Product event,Lucide,PackageCheck,lucide-react,"import { PackageCheck } from 'lucide-react'","Checked software or shipment package","A build artifact, package verification, or completed shipment is literal","Generic launch, publish, celebration, or growth","release package artifact verified shipment",1.25.0,https://lucide.dev/
