No,Product Type,Keywords
1,SaaS (General),"app, b2b, cloud, general, saas, software, subscription"
2,Micro SaaS,"indie, micro-saas, niche, solo, bootstrap, micro, side-project, solopreneur, small-team, indie-hacker, product-hunt"
3,E-commerce,"buy, commerce, e, ecommerce, products, retail, sell, shop, store"
4,E-commerce Luxury,"buy, commerce, e, ecommerce, elegant, exclusive, high-end, luxury, premium, products, retail, sell, shop, store"
5,B2B Service,"b2b, enterprise, consulting, professional, solution, contract, corporate, strategy, advisory, roi, deliverable, whitepaper"
6,Financial Dashboard,"portfolio, trading, pnl, budget, revenue, expense, cashflow, balance-sheet, investment, bank, accounting, fintech"
7,Analytics Dashboard,"kpi, metric, funnel, conversion, cohort, retention, segment, attribution, ab-test, dashboard-data, business-intelligence"
8,Healthcare App,"app, clinic, health, healthcare, medical, patient"
9,Educational App,"app, course, education, educational, learning, school, training"
10,Creative Agency,"branding, identity, portfolio, logo, visual, rebrand, creative-director, campaign, awards, award-winning, showreel"
11,Portfolio/Personal,"creative, personal, portfolio, projects, showcase, work"
12,Gaming,"entertainment, esports, game, gaming, play"
13,Government/Public Service,"government, civic, municipal, federal, citizen, public, administration, permit, tax, voter, transparency, regulation"
14,Fintech/Crypto,"banking, blockchain, crypto, defi, finance, fintech, money, nft, payment, web3"
15,Social Media App,"app, community, content, entertainment, media, network, sharing, social, streaming, users, video"
16,Productivity Tool,"collaboration, productivity, project, task, tool, workflow"
17,Design System/Component Library,"component, design, library, system"
18,AI/Chatbot Platform,"ai, artificial-intelligence, automation, chatbot, machine-learning, ml, platform"
19,NFT/Web3 Platform,"nft, platform, web"
20,Creator Economy Platform,"creator, economy, platform"
21,Remote Work/Collaboration Tool,"collaboration, remote, tool, work"
22,Mental Health App,"app, health, mental"
23,Pet Tech App,"app, pet, tech"
24,Smart Home/IoT Dashboard,"admin, analytics, dashboard, data, home, iot, panel, smart"
25,EV/Charging Ecosystem,"charging, ecosystem, ev"
26,Subscription Box Service,"subscription, box, recurring, membership, unboxing, curated, plan, monthly, surprise, product-box"
27,Podcast Platform,"platform, podcast"
28,Dating App,"app, dating"
29,Micro-Credentials/Badges Platform,"badges, credentials, micro, platform"
30,Knowledge Base/Documentation,"base, documentation, knowledge"
31,Hyperlocal Services,"hyperlocal, local, neighborhood, nearby, community, nearby, zip, map, local-business, geo-target, city"
32,Beauty/Spa/Wellness Service,"spa, beauty, salon, wellness, treatment, relaxation, massage, skincare, facial, aesthetic, self-care, pamper"
33,Luxury/Premium Brand,"brand, elegant, exclusive, high-end, luxury, premium"
34,Restaurant/Food Service,"restaurant, menu, order, food, dining, reservation, delivery, cuisine, chef, table, takeaway, eatery"
35,Fitness/Gym App,"app, exercise, fitness, gym, health, workout"
36,Real Estate/Property,"buy, estate, housing, property, real, real-estate, rent"
37,Travel/Tourism Agency,"travel, tourism, vacation, flight, hotel, destination, adventure, cruise, safari, backpacking, guided-tour, holiday-package"
38,Hotel/Hospitality,"hospitality, hotel"
39,Wedding/Event Planning,"conference, event, meetup, planning, registration, ticket, wedding"
40,Legal Services,"law, attorney, legal, case, compliance, contract, court, firm, counsel, litigation, practice-area, jurisdiction"
41,Insurance Platform,"insurance, platform"
42,Banking/Traditional Finance,"banking, finance, traditional"
43,Online Course/E-learning,"course, e, learning, online"
44,Non-profit/Charity,"charity, non, profit"
45,Music Streaming,"music, streaming"
46,Video Streaming/OTT,"ott, streaming, video"
47,Job Board/Recruitment,"board, job, recruitment"
48,Marketplace (P2P),"buyers, listings, marketplace, p, platform, sellers"
49,Logistics/Delivery,"delivery, logistics"
50,Agriculture/Farm Tech,"agriculture, farm, tech"
51,Construction/Architecture,"architecture, construction"
52,Automotive/Car Dealership,"automotive, car, dealership"
53,Photography Studio,"photography, studio"
54,Coworking Space,"coworking, space"
55,Home Services (Plumber/Electrician),"plumber, electrician, hvac, handyman, repair, maintenance, home, emergency, leak, wiring, inspection, licensed"
56,Childcare/Daycare,"childcare, daycare"
57,Senior Care/Elderly,"care, elderly, senior"
58,Medical Clinic,"clinic, medical"
59,Pharmacy/Drug Store,"drug, pharmacy, store"
60,Dental Practice,"dental, practice"
61,Veterinary Clinic,"clinic, veterinary"
62,Florist/Plant Shop,"florist, plant, shop"
63,Bakery/Cafe,"bakery, cafe"
64,Brewery/Winery,"brewery, winery"
65,Airline,"airline, aviation, flight, travel, booking, airport, flying"
66,News/Media Platform,"content, entertainment, media, news, platform, streaming, video"
67,Magazine/Blog,"articles, blog, content, magazine, posts, writing"
68,Freelancer Platform,"freelancer, platform"
69,Marketing Agency,"campaign, ads, growth, roi, seo, sem, ppc, social-media, conversion-funnel, ab-test, attribution, performance-marketing"
70,Event Management,"conference, event, management, meetup, registration, ticket"
71,Membership/Community,"community, membership"
72,Newsletter Platform,"newsletter, platform"
73,Digital Products/Downloads,"digital, downloads, products"
74,Church/Religious Organization,"church, organization, religious"
75,Sports Team/Club,"club, sports, team"
76,Museum/Gallery,"gallery, museum"
77,Theater/Cinema,"cinema, theater"
78,Language Learning App,"app, language, learning"
79,Coding Bootcamp,"bootcamp, coding"
80,Cybersecurity Platform,"cyber, security, platform"
81,Developer Tool / IDE,"dev, developer, tool, ide"
82,Biotech / Life Sciences,"biotech, biology, science"
83,Space Tech / Aerospace,"aerospace, space, tech"
84,Architecture / Interior,"architecture, design, interior"
85,Quantum Computing Interface,"quantum, computing, physics, qubit, future, science"
86,Biohacking / Longevity App,"biohacking, health, longevity, tracking, wellness, science"
87,Autonomous Drone Fleet Manager,"drone, autonomous, fleet, aerial, logistics, robotics"
