Concept,Role,Preferred Mapping,Candidates to Explore,Avoid as Default,Allowed When,Label Policy,Keywords
AI assistant,Product capability,"Depict the capability or output the assistant actually provides","compose document; classify items; extract fields; translate language; summarize text; route work","sparkles; magic wand; brain; generic robot head","The symbol is a learned enhance or generate action in this product, a literal named bot, or a verified brand mark; keep the context and label clear","Keep a visible capability label until the symbol is proven familiar in context","ai artificial intelligence copilot assistant generative automation"
Automation,Product capability,"Write the real trigger → transformation/output → destination before choosing a glyph","invoice received → fields extracted → approval queue; booking time → reminder sent; sensor threshold → maintenance ticket","magic wand; sparkles; lightning bolt; lone gear; one generic workflow glyph reused everywhere","The symbol has a learned automation run or trigger meaning in this product, or the feature literally controls the depicted mechanism","Use a visible noun or verb such as Rules, Flows or Schedules and record why the chosen metaphor matches this automation","automation workflow rule trigger orchestration"
Launch or release,Product event,"Show the actual release artifact or transition","version tag; package; deployment path; staged rollout; publish arrow","rocket; confetti; sparkle burst","The symbol is a learned launch or publish action for the audience, the product is aerospace, a game uses a literal rocket, or celebration is the explicit event","Prefer a visible Release or Publish label for consequential actions","launch release deploy publish rollout ship"
Growth,Metric or outcome,"Represent the measured mechanism rather than a vague promise","retention curve; acquisition path; cohort; expanding range; exact KPI series","rocket; plant sprout; generic chart-up","The symbol depicts the actual metric or direction, the subject is literal plant growth, or testing shows the conventional shorthand is clearest with its label","Show the metric name beside the symbol","growth acquisition retention revenue adoption"
Performance,Metric or system state,"Match the instrument to the measured quantity","latency trace; stopwatch; gauge; frame timeline; throughput lanes","lightning bolt; flame","The symbol is an established speed or boost action in this product and its label is exact, or the feature measures the depicted physical property","Pair with the metric and unit; never rely on color alone","performance speed latency throughput optimization"
Security,Domain or system state,"Name the mechanism being protected or controlled","key for credentials; lock for access; fingerprint for identity; firewall for network policy; audit trail for review","shield used for every security feature","The feature is a top-level protection boundary, a verified certification or security brand motif, rather than a substitute for every security mechanism","Use a visible mechanism label for unfamiliar security concepts","security privacy access identity authentication authorization"
Trust,Proof or assurance,"Show the source of proof","verified credential; signed record; audit trail; agreement; provenance chain","shield-check; generic badge-check","A certification or verification badge is actually issued, or the product has a learned verified-state symbol backed by explicit proof","State the proof in text; an icon cannot make an unsupported trust claim","trust verified assurance compliance provenance"
Global or international,Domain scope,"Represent the actual cross-border function","translation; time zones; multi-region nodes; route map; locale selector","generic globe","Worldwide scope is the actual meaning or the globe is an established locale or global control for this audience","Use the region, language or scope label","global international localization region language world"
Integrations,Product architecture,"Show the connection model or verified provider mark","connector; plug; linked nodes; webhook; provider logo from official assets","puzzle piece","The product is literally a puzzle or the extension or plugin ecosystem has an established puzzle metaphor understood by its audience","Name the integration or provider","integration connector plugin webhook api provider"
Platform,Product architecture,"Show the platform boundary or the concrete subsystem","workspace modules; runtime boundary; API surface; component graph; service topology","stacked layers; floating cubes","The object is literally layered modular or spatial, or the existing product has a learned platform metaphor that remains clear with its label","Use a specific subsystem label instead of the vague word Platform when possible","platform infrastructure modules runtime services"
Analytics,Data view,"Use the chart form that matches the question","line for trend; bars for comparison; funnel for conversion; scatter for relationship; table for exact values","generic chart-up for every analytics entry point","A rising line is the actual selected visualization","Keep the view name and units visible","analytics insights reporting chart metrics"
Data,Entity or architecture,"Represent the data form or storage mechanism","table; records; schema; document set; event stream; warehouse","database cylinder for every data feature","The feature is literally database or storage administration","Name the data object, source or operation","data database records schema dataset storage"
Community,People or collaboration,"Represent the actual community activity","discussion; event; member directory; collaboration cursors; shared workspace","generic three-person silhouette","The view is literally a member list or group administration","Use the community or activity name","community collaboration members group social"
Achievement,Status or outcome,"Show the achieved object or milestone","certificate; completed route; checkpoint; verified skill; streak calendar","trophy; star; crown","Competition rank, rating, favorite state or a literal award uses it","State what was achieved","achievement milestone award progress completion"
Settings,Action or destination,"Match the level and type of adjustment","sliders for adjustable properties; wrench for setup; key for access; switches for preferences","gear for every management screen","The destination is general system configuration and the gear is already conventional in the product","Use a Settings label in navigation; do not invent an unlabeled substitute","settings configuration preferences controls manage"
Search,Universal action,"Keep the conventional magnifying-glass symbol","magnifying glass; search field with visible placeholder and label","novel custom metaphor","A domain-specific finder already has a learned, tested symbol","Provide an accessible name; label broad or consequential search modes","search find query discover"
Delete,Universal destructive action,"Keep the conventional trash or remove symbol and expose consequence","trash for deletion; x or minus only for removing an item from a reversible collection","novel custom glyph; ambiguous x for permanent deletion","X is the established reversible remove action in that exact component","Use visible confirmation copy when consequence is material","delete trash remove destroy destructive"
Navigation back,Universal navigation,"Preserve the platform-appropriate back arrow and directionality","back arrow; chevron only inside hierarchical disclosure; localized direction when required","decorative custom arrow that changes meaning","A verified brand navigation system already defines it without reducing clarity","Accessible name is required for icon-only controls","back previous return navigation arrow"
Upload or download,Universal transfer action,"Show direction relative to the destination and keep the object context","arrow into tray or cloud for upload; arrow out or down for download; sync for bidirectional transfer","same ambiguous cloud icon for every transfer","The destination is literally a cloud service and direction remains clear","Label consequential or uncommon transfer actions","upload download import export transfer sync"
Brand or provider,Brand asset,"Use the official current mark from a verified source","official SVG asset; official monochrome mark when permitted; text wordmark fallback","redrawn logo; remembered color; substitute icon from a generic family","Only the brand owner permits the exact variant and use","Include the provider name where recognition or accessibility is uncertain","brand provider logo official trademark"
Novel domain concept,Product-specific entity,"First try a literal object, then a compound symbol built from familiar parts","two-part glyph with one base object and one modifier; repository-owned SVG on the family grid","random abstract sparkle; generic cube; arbitrary mascot","The abstract form is a documented brand motif and tested with users","If recognition is not immediate, use text instead of forcing an icon-only action","custom icon domain signature compound metaphor"
